"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Delta Electronics Inc","0.22","EQUITY","2308","Large Growth","2011-10-31","457381","12000","Technology","2518877","160","-2|-1.23%","162-160","1507","179.5-153","Taiwan","-1.76","0.3","-4.07","14.05","420801.97","TWD","-","4.7","22.63","-","-","-"
"Hindustan Unilever Ltd","0.22","EQUITY","HINDUNILVR","Large Growth","2012-06-30","152182","3353","Consumer Defensive","2517101","1153.85","-18.05|-1.54%","1168.6-1141.6","860381","1195.05-781.95","India","24.48","28.75","20.51","21.56","2498008.5","INR","-","40.84","55.65","-","-","-"
"Vale SA","0.22","EQUITY","VALE3","Large Value","2011-10-31","299200","0","Basic Materials","2512172","30.34","0.64|2.15%","30.35-29.33","5155700","37.28-16.16","Brazil","10.45","64.98","0.56","-0.15","156353.39","BRL","-","21.67","8.22","-","-","-"
"China Pacific Insurance (Group) Co Ltd H","0.22","EQUITY","02601","Large Core","2011-10-31","619000","17600","Financial Services","2478367","34.4","0.15|0.44%","34.4-34.15","663415","34.85-26.35","China","21.92","25.41","6.12","8.71","344074.12","HKD","3","29.59","22.27","-","-","-"
"Grupo Mexico SAB de CV","0.21","EQUITY","GMEXICO B","Large Growth","2011-10-31","892507","22000","Basic Materials","2417226","58.15","0.01|0.02%","58.56-57.2","8365061","67.34-42.81","Mexico","5.56","28.56","8.49","10.27","446379.53","MXN","-","4.04","23.07","-","-","-"
"Fubon Financial Holdings Co Ltd","0.21","EQUITY","2881","Large Value","2011-10-31","1557334","45000","Financial Services","2368873","46.9","0.15|0.32%","46.9-46.7","2090","53.7-39.2","Taiwan","3.07","21.57","2.78","13.99","478421","TWD","-","-4.41","9.66","-","-","-"
"NOVATEK PJSC GDR","0.21","EQUITY","NVTK","Large Growth","2011-10-31","20764","623","Energy","2333874","104.2","-2.2|-2.07%","105.7-103.7","128466","135.8-97.4","Russia","-14.03","6.36","3.71","0.41","30647.52","USD","-","-18.81","10.97","-","-","-"
"Kasikornbank Public Co Ltd Shs Foreign Registered","0.21","EQUITY","KBANK-F","Large Core","2011-10-31","423800","50400","Financial Services","2326794","201","-3|-1.47%","205-201","567600","212-165.5","Thailand","9.24","9.33","0.16","5.62","472668.88","THB","-","15.21","11.82","-","-","-"
"Korea Electric Power Corp","0.21","EQUITY","015760","Large Value","2016-05-31","60354","1702","Utilities","2308952","44450","-500|-1.11%","45050-44100","613435","63600-40050","South Korea","-0.88","-23.81","7.43","14.47","28856286","KRW","-","2.04","4.99","-","-","-"
"SK Innovation Co Ltd","0.2","EQUITY","096770","Large Value","2016-05-31","15237","436","Energy","2300151","174500","-500|-0.29%","176500-174000","61083","179000-138500","South Korea","3.27","25.34","22.17","5.3","16090270","KRW","-","20.55","105.68","-","-","-"
"Formosa Chemicals & Fibre Corp","0.2","EQUITY","1326","Large Core","2011-10-31","757760","20000","Basic Materials","2295214","91","-","91.1-90.9","623","100-80.4","Taiwan","4.09","14.32","11.19","6.81","533367.94","TWD","-","0.31","10.91","-","-","-"
